page,rownum,result_1_to_50,resultpage_URI,votes,answers,title,question,tags,reputation,badges,views,age,link,link_source,link_title
webpage/url:http://stackoverflow.com/questions/tagged/r?page=1549&sort=newest&pagesize=50|,1,1,http://stackoverflow.com/questions/tagged/r?page=1549&sort=newest&pagesize=50,1,1,What is the Y function?,A friend of mine asked me if I understood the Y function. I didn't even know what it was. ? Y did not get me anywhere. What is it?,r,1653,1; 7; 14,351,Feb 27 '09 at 22:45,http://stackoverflow.com/questions/596976/what-is-the-y-function,/questions/596976/what-is-the-y-function,
webpage/url:http://stackoverflow.com/questions/tagged/r?page=300&sort=newest&pagesize=50|,26,1,http://stackoverflow.com/questions/tagged/r?page=300&sort=newest&pagesize=50,0,1,loop over changing the default numeric rownames to texts in R,I am writing a loop to change the default numeric row names associated with a matrix (matrix x in my case) to text characters specified in one of the columns of an existing matrix (column with name ...,r,12,4,54,Jul 27 '14 at 20:39,http://stackoverflow.com/questions/24985461/loop-over-changing-the-default-numeric-rownames-to-texts-in-r,/questions/24985461/loop-over-changing-the-default-numeric-rownames-to-texts-in-r,
webpage/url:http://stackoverflow.com/questions/tagged/r?page=1546&sort=newest&pagesize=50|,76,1,http://stackoverflow.com/questions/tagged/r?page=1546&sort=newest&pagesize=50,3,2,Is there a systematic way to convert R code with loops to vectorized code?,Most looping code looks like this retVal=NULL for i { for j { result <- *some function of vector[i] and vector[j]* retVal = rbind(retValresult) } } Since this is so common is ...,r; loops,3345,9; 26; 38,351,Sep 8 '09 at 17:11,http://stackoverflow.com/questions/1395136/is-there-a-systematic-way-to-convert-r-code-with-loops-to-vectorized-code,/questions/1395136/is-there-a-systematic-way-to-convert-r-code-with-loops-to-vectorized-code,
webpage/url:http://stackoverflow.com/questions/tagged/r?page=96&sort=newest&pagesize=50|,126,1,http://stackoverflow.com/questions/tagged/r?page=96&sort=newest&pagesize=50,0,2,Dataframe headers are wrong in R,I wrote a function that is supposed to return a dataframe. Although the output is fine the headers of the output are incorrect. When I initialized the dataframe (output) I clearly labeled the two ...,r; data; frame,325,3; 8; 17,46,Nov 16 '14 at 23:52,http://stackoverflow.com/questions/26963497/dataframe-headers-are-wrong-in-r,/questions/26963497/dataframe-headers-are-wrong-in-r,
webpage/url:http://stackoverflow.com/questions/tagged/r?page=1400&sort=newest&pagesize=50|,176,1,http://stackoverflow.com/questions/tagged/r?page=1400&sort=newest&pagesize=50,4,2,Is there an interactive output device to view 3D graphs in R?,I'm currently generating 3D graphs in R using the persp-command. To change the viewpoint one has to set the parameters theta and phi. To evaluate (a good viewpoint on) the graph one has to try lots ...,r; 3d; plot; interactive,1690,5; 23; 59,1,Nov 2 '11 at 8:07,http://stackoverflow.com/questions/7977313/is-there-an-interactive-output-device-to-view-3d-graphs-in-r,/questions/7977313/is-there-an-interactive-output-device-to-view-3d-graphs-in-r,
webpage/url:http://stackoverflow.com/questions/tagged/r?page=1&sort=newest&pagesize=50|,226,1,http://stackoverflow.com/questions/tagged/r?page=1&sort=newest&pagesize=50,0,0,Increase efficiency of dplyr summarising,I am trying to sort and make a new table from a large data set (>60k; NDw) with a sample here Season ENo HNo Month Day Year Group 638447 2011 A903851 1881023 10 6 2011 Ducks ...,r; performance; dplyr,33,3,5,2 mins ago,http://stackoverflow.com/questions/27845056/increase-efficiency-of-dplyr-summarising,/questions/27845056/increase-efficiency-of-dplyr-summarising,
webpage/url:http://stackoverflow.com/questions/tagged/r?page=3&sort=newest&pagesize=50|,276,1,http://stackoverflow.com/questions/tagged/r?page=3&sort=newest&pagesize=50,11,1,What is the purpose of .*\\?,"I have been playing around with list.files() and I wanted to only list 001.csv through 010.csv and I came up with this command: list_files <- list.files(directory pattern = "".*\\000|010"" ...",regex; r,58,5,162,19 hours ago,http://stackoverflow.com/questions/27828708/what-is-the-purpose-of,/questions/27828708/what-is-the-purpose-of,
webpage/url:http://stackoverflow.com/questions/tagged/r?page=1500&sort=newest&pagesize=50|,326,1,http://stackoverflow.com/questions/tagged/r?page=1500&sort=newest&pagesize=50,19,1,How can I hide the part of the legend using ggplot2?,"I am generating a plot using the code below and would like to hide the ""mag"" (size) legend but still keep the ""depth"" (color) legend. ggplot(quakes aes(long lat size=mag colour=depth)) + ...",r; ggplot2,621,9; 22,4,Nov 17 '10 at 17:56,http://stackoverflow.com/questions/4207518/how-can-i-hide-the-part-of-the-legend-using-ggplot2,/questions/4207518/how-can-i-hide-the-part-of-the-legend-using-ggplot2,
webpage/url:http://stackoverflow.com/questions/tagged/r?page=9&sort=newest&pagesize=50|,376,1,http://stackoverflow.com/questions/tagged/r?page=9&sort=newest&pagesize=50,0,0,multiple imputation: contrasts can be applied only to factors with 2 or more levels,I am using the data available here: http://www.ads.org.pl/pobieranie-zbioru-danych.php?id=91 which is a survey with 17497 observations of 1681 variables. I am interested in variable q32 which is a ...,r; missing-data,17,4,11,Jan 4 at 23:35,http://stackoverflow.com/questions/27776587/multiple-imputation-contrasts-can-be-applied-only-to-factors-with-2-or-more-lev,/questions/27776587/multiple-imputation-contrasts-can-be-applied-only-to-factors-with-2-or-more-lev,
webpage/url:http://stackoverflow.com/questions/tagged/r?page=97&sort=newest&pagesize=50|,426,1,http://stackoverflow.com/questions/tagged/r?page=97&sort=newest&pagesize=50,0,0,R aggregate by multiple rows and apply summarizing function [duplicate],I have a data set like this: index1 index2 var1 var2 1 1 1 -3.1175877 -0.9776574 2 2 2 -0.6531706 -0.2230984 3 3 1 0.7909643 -0.1172342 4 4 2 ...,r,1,1,18,Nov 16 '14 at 12:23,http://stackoverflow.com/questions/26956857/r-aggregate-by-multiple-rows-and-apply-summarizing-function,/questions/26956857/r-aggregate-by-multiple-rows-and-apply-summarizing-function,
webpage/url:http://stackoverflow.com/questions/tagged/r?page=60&sort=newest&pagesize=50|,476,1,http://stackoverflow.com/questions/tagged/r?page=60&sort=newest&pagesize=50,0,1,Output list of two rbinded data frames with foreach in R,Let's say I want to use foreach in the doParallel package to return a list of two data frames of different dimensions like the following: a<-NULL b<-NULL for(i in 1:100){ ...,r; for-loop; parallel-processing; parallel-foreach,165,9,32,Dec 3 '14 at 18:37,http://stackoverflow.com/questions/27279164/output-list-of-two-rbinded-data-frames-with-foreach-in-r,/questions/27279164/output-list-of-two-rbinded-data-frames-with-foreach-in-r,
